Name;Price;Марка;Размер;НТП;Тип;Способ производства;Артикул;Описание
Труба сталь 20 80 мм в Екатеринбурге;Договорная;сталь 20;80;ГОСТ 18482-79;конструкционная;горячедеформированная;5360009009;Труба сталь 20 80 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба А11 14 мм в Екатеринбурге;Договорная;А11;14;ГОСТ 8732-75;конструкционная;-;5360009010;Труба А11 14 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 70 38 мм в Екатеринбурге;Договорная;сталь 70;38;ГОСТ 18482-79;конструкционная;горячедеформированная;5360009011;Труба сталь 70 38 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 20 16 мм в Екатеринбурге;Договорная;сталь 20;16;ГОСТ 8734-75;конструкционная;-;5360009012;Труба сталь 20 16 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30Г 76 мм в Екатеринбурге;Договорная;30Г;76;ГОСТ 8732-75;конструкционная;горячедеформированная;5360009013;Труба 30Г 76 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х18Н10Т 45 мм в Екатеринбурге;Договорная;10Х18Н10Т;45;ГОСТ 18482-79;конструкционная;горячедеформированная;5360009014;Труба 10Х18Н10Т 45 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Г2С1Д 35 мм в Екатеринбурге;Договорная;10Г2С1Д;35;ГОСТ 8734;конструкционная;горячедеформированная;5360009015;Труба 10Г2С1Д 35 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 36НХТЮ 1020 мм в Екатеринбурге;Договорная;36НХТЮ;1020;ГОСТ 21729-76;конструкционная;-;5360009016;Труба 36НХТЮ 1020 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 16К 102 мм в Екатеринбурге;Договорная;16К;102;ГОСТ 8734-75;конструкционная;горячедеформированная;5360009017;Труба 16К 102 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Г2С1Д 95 мм в Екатеринбурге;Договорная;10Г2С1Д;95;ГОСТ 21729-76;конструкционная;горячедеформированная;5360009018;Труба 10Г2С1Д 95 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 95Х18 35 мм в Екатеринбурге;Договорная;95Х18;35;ГОСТ 9941-81;конструкционная;горячедеформированная;5360009019;Труба 95Х18 35 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 18Г2АФДпс 9,8 мм в Екатеринбурге;Договорная;18Г2АФДпс;9.8;ГОСТ 8732-78;конструкционная;горячедеформированная;5360009020;Труба 18Г2АФДпс 9,8 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 15 159 мм в Екатеринбурге;Договорная;сталь 15;159;ГОСТ 8732-78;конструкционная;горячедеформированная;5360009021;Труба сталь 15 159 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ЭИ868 93 мм в Екатеринбурге;Договорная;ЭИ868;93;ГОСТ 8734-75;жаропрочная;горячедеформированная;5360009022;Труба ЭИ868 93 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 15 50 мм в Екатеринбурге;Договорная;сталь 15;50;ГОСТ 8732-78;конструкционная;горячедеформированная;5360009023;Труба сталь 15 50 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20С 50 мм в Екатеринбурге;Договорная;20С;50;ГОСТ 8734-75;конструкционная;-;5360009024;Труба 20С 50 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ХН65МВУ 146 мм в Екатеринбурге;Договорная;ХН65МВУ;146;ГОСТ 8732-78;конструкционная;-;5360009025;Труба ХН65МВУ 146 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 95Х18 114 мм в Екатеринбурге;Договорная;95Х18;114;ГОСТ 21729-76;конструкционная;горячедеформированная;5360009026;Труба 95Х18 114 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 70Г 20 мм в Екатеринбурге;Договорная;70Г;20;ГОСТ 21729-76;конструкционная;горячедеформированная;5360009027;Труба 70Г 20 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 60Г 219 мм в Екатеринбурге;Договорная;60Г;219;ГОСТ 8734;конструкционная;горячедеформированная;5360009028;Труба 60Г 219 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 9Х2 146 мм в Екатеринбурге;Договорная;9Х2;146;ГОСТ 8734-75;конструкционная;горячедеформированная;5360009029;Труба 9Х2 146 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 35ХН1М2ФА 1620 мм в Екатеринбурге;Договорная;35ХН1М2ФА;1620;ГОСТ 9941-81;конструкционная;-;5360009030;Труба 35ХН1М2ФА 1620 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 40 40 мм в Екатеринбурге;Договорная;сталь 40;40;ГОСТ 9941-81;конструкционная;горячедеформированная;5360009031;Труба сталь 40 40 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 25Г 36 мм в Екатеринбурге;Договорная;25Г;36;ГОСТ 18482-79;конструкционная;горячедеформированная;5360009032;Труба 25Г 36 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15Х5М 70 мм в Екатеринбурге;Договорная;15Х5М;70;ГОСТ 8732-75;конструкционная;горячедеформированная;5360009033;Труба 15Х5М 70 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 40Х 12 мм в Екатеринбурге;Договорная;40Х;12;ГОСТ 8734;конструкционная;-;5360009034;Труба 40Х 12 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 25 8 мм в Екатеринбурге;Договорная;сталь 25;8;ГОСТ 8732-75;конструкционная;горячедеформированная;5360009035;Труба сталь 25 8 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 45Х 51 мм в Екатеринбурге;Договорная;45Х;51;ГОСТ 8734;конструкционная;горячедеформированная;5360009036;Труба 45Х 51 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 70С3А 39 мм в Екатеринбурге;Договорная;70С3А;39;ГОСТ 9941-81;конструкционная;горячедеформированная;5360009037;Труба 70С3А 39 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15ГС 325х45 мм в Екатеринбурге;Договорная;15ГС;325х45;ГОСТ 8734;конструкционная;-;5360009038;Труба 15ГС 325х45 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 65 32 мм в Екатеринбурге;Договорная;сталь 65;32;ГОСТ 18482-79;конструкционная;-;5360009039;Труба сталь 65 32 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 14ХГС 83 мм в Екатеринбурге;Договорная;14ХГС;83;ГОСТ 8734;конструкционная;горячедеформированная;5360009040;Труба 14ХГС 83 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х 18 мм в Екатеринбурге;Договорная;20Х;18;ГОСТ 18482-79;конструкционная;горячедеформированная;5360009041;Труба 20Х 18 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х2НВФА 80 мм в Екатеринбурге;Договорная;12Х2НВФА;80;ГОСТ 8734-75;конструкционная;горячедеформированная;5360009042;Труба 12Х2НВФА 80 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
